,En_acc_Y
30541,48.915864837532425
30542,15.314132092206457
30543,6.5876798449357485
30544,2.3353813757264352
30545,1.678828380802726
30546,0.5416447086405346
30547,0.1597674450189371
30548,0.0783980791625112
30549,0.06740639154126855
30550,0.02237192297356041
30551,0.02083827243829108
30552,0.03207386523716698
30553,0.13000289272879165
30554,1.2882677871399757
30555,5.078156528303331
30556,71.75585369352046
30557,165.4837145273344
30558,69.3415858550561
30559,5.784806003481739
30560,1.1449006485520503
30561,0.6214722078060791
30562,3.8096309211210406
30563,0.10739375214611951
30564,0.01603707592362329
30565,0.009743787335209753
30566,0.06463687834330378
30567,0.41698250813267473
30568,0.11157797269637143
30569,0.03746710263933643
30570,1.041377087845771
30571,3.3585601565759586
30572,38.59196800135611
30573,93.73628535495332
30574,195.42438479431283
30575,29.023571895354216
30576,5.286754305782541
30577,4.703504513711908
30578,1.8917391622945643
30579,33.91442768581718
30580,16.919954484808525
30581,4.344586150506633
30582,1.5254510030423725
30583,0.3047638663719849
30584,0.18376024352862047
30585,0.13015422285075443
30586,1.8072468930121817
30587,5.539533027012779
30588,7.058931111786728
30589,11.4558139525915
30590,6.032087065704187
30591,2.803346849089623
30592,2.163512393321836
30593,0.1668519685000872
30594,0.015758777536453158
30595,0.3737230157871537
30596,4.443450482224279
30597,0.5586542525638148
30598,0.20695234901294443
30599,0.09347233629248573
30600,0.07291618370909062
30601,0.06781414214766786
30602,0.13472947508610272
30603,3.279521981569285
30604,4.969959025957672
30605,50.158694322502704
30606,47.70859697585643
30607,3.1059470959716533
30608,2.2198626099739798
30609,0.6675507968933136
30610,1.3365743874483553
30611,0.98373741244607
30612,0.2132956032918793
30613,0.09343517251884675
30614,0.06276665203803805
30615,0.0698929250540983
30616,0.058856717333843636
30617,0.14388571175838955
30618,0.18809636742099445
30619,2.244666515008576
30620,20.302320665659035
30621,113.06888450980945
30622,100.89337650195574
30623,8.635544497969363
30624,0.4896480035589189
30625,0.2999186274417703
30626,0.09207014424700198
30627,0.11181232420468841
30628,0.05348640873803206
30629,0.06671355944248461
30630,0.10732936041493114
30631,0.2114194537116384
30632,0.21355336129002073
30633,0.38222998509273703
30634,0.0807413076356037
30635,1.7675656319722115
30636,3.8742019746827583
30637,58.78231469472562
30638,51.35179409258333
30639,59.683750876410194
30640,4.270445377464641
30641,0.6752371060046676
30642,0.1494296105256697
30643,0.2922731124983959
30644,0.9974074712600055
30645,0.24521135530186966
30646,0.12850478184337719
30647,0.11866096759043043
30648,0.08446953154941124
30649,0.03943812015588433
30650,0.040441733117511806
30651,1.5182697008910537
30652,2.273228738015326
30653,2.851844331710931
30654,12.281102804067672
30655,2.206052207757797
30656,0.37599535603392303
30657,0.2641671727381702
30658,0.12735480666783122
30659,0.09005240928749948
30660,0.11753449444140165
30661,0.06677393863256083
30662,0.032389136324589216
30663,0.018989159742213046
30664,0.020241072569358788
30665,0.04088693410762912
30666,0.07877602232064543
30667,0.12118160770271738
30668,3.5710648115851793
30669,11.32376991841338
30670,52.82514607074572
30671,46.18764192959408
30672,1.4314009563663583
30673,0.437941252341038
30674,0.463025366496668
30675,0.16111221951183227
30676,0.03985771731223511
30677,0.10392319069375983
30678,0.06552097490179058
30679,0.021464419925250118
30680,0.00725601184536909
30681,0.028528785164143807
30682,0.014537436451118137
30683,0.3066405891723848
30684,1.1911146131334889
30685,30.546956917407048
30686,125.15489317029237
30687,87.15110799815814
30688,14.455336038485655
30689,2.040656696144905
