,window_ID,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc_xyz,gyro_xyz
1838,29,-9.67137760620117,-1.7812860351562498,-1.3347674255371094,1.3282442748091603,-0.7022900763358778,-11.450381679389311,9.924219305368414,2.300586568831944
1839,29,-9.645041387939452,-1.898601916503906,-1.3156138122558594,0.732824427480916,-0.916030534351145,-9.893129770992369,9.917779606112232,1.2692891414245209
1840,29,-9.609128363037108,-2.086546746826172,-1.2689268798828124,-0.1221374045801526,-1.0381679389312977,-7.129770992366412,9.91459533468231,0.2115481902374201
1841,29,-9.554061724853517,-2.166752502441406,-1.255758770751953,-0.5343511450381679,-1.083969465648855,-4.946564885496184,9.87683359885482,0.9255233322887132
1842,29,-9.464279162597656,-2.24097275390625,-1.2617442749023438,-1.297709923664122,-1.099236641221374,-1.5114503816793894,9.80747355676166,2.247699521272589
1843,29,-9.424774835205078,-2.3247698120117186,-1.218648645019531,-2.0916030534351147,-1.0076335877862594,0.7022900763358778,9.78345746110054,3.62276275781582
1844,29,-9.400832818603517,-2.422932080078125,-1.1456254943847657,-2.732824427480916,-0.732824427480916,4.259541984732825,9.77541381842165,4.733390756562275
1845,29,-9.427169036865234,-2.390610357666016,-1.1168950744628905,-2.7480916030534357,-0.3358778625954198,6.977099236641221,9.78948356856326,4.759834280341953
1846,29,-9.406818322753905,-2.310404602050781,-1.1252747802734375,-2.564885496183206,0.7022900763358778,12.290076335877863,9.751535454152616,4.442511994985822
1847,29,-9.227253198242186,-2.2301988464355467,-1.13006318359375,-2.7022900763358777,1.633587786259542,16.412213740458014,9.559970255080668,4.68050370900292
1848,29,-9.12310542602539,-2.2768857788085937,-1.0845733520507812,-3.3740458015267176,3.66412213740458,21.282442748091604,9.465281866912015,5.844018755308731
1849,29,-9.137470635986327,-2.233790148925781,-1.0749965454101562,-3.282442748091603,5.038167938931298,22.50381679389313,9.467777227290153,5.685357612630665
1850,29,-9.18655177001953,-2.1128829650878904,-1.0965443603515623,-2.33587786259542,6.366412213740458,21.572519083969464,9.489964034790985,4.04585913829066
1851,29,-9.297882147216797,-1.9907786804199217,-1.139639990234375,-1.6793893129770991,6.732824427480916,18.04580152671756,9.5766691226798,2.9087876157645267
1852,29,-9.4618849609375,-1.8291700683593748,-1.2126631408691406,-0.1984732824427481,6.229007633587786,14.030534351145038,9.713067591972152,0.3437658091358077
1853,29,-9.81263550415039,-1.504755743408203,-1.3563152404785157,0.8091603053435115,4.305343511450381,6.641221374045801,10.019565680017624,1.4015067603229083
1854,29,-9.937133990478516,-1.2928688964843749,-1.426944189453125,1.938931297709924,2.381679389312977,2.2442748091603053,10.12197172728882,3.3583275200190443
1855,29,-9.952696301269532,-1.1635820068359377,-1.455674609375,2.351145038167939,-0.2290076335877862,-3.5572519083969465,10.125664191563711,4.072302662070337
1856,30,-9.532513909912108,-1.39821376953125,-1.2533645690917967,-1.5877862595419847,4.183206106870229,17.358778625954198,9.715695854185087,2.7501264730864614
1857,30,-9.78031378173828,-1.0989385620117187,-1.2952630981445312,-0.4122137404580153,3.3740458015267176,9.02290076335878,9.926727060101486,0.713975142051293
