,window_ID,acc_X,acc_Y,acc_Z,gyro_X,gyro_Y,gyro_Z,acc_xyz
10957,172,-9.039308367919922,-0.201112939453125,-1.2856862915039062,-49.770992366412216,-44.12213740458015,3.3435114503816794,9.132498640838865
10958,172,-8.911218579101561,-0.3567360473632812,-1.0690110412597655,-48.74809160305343,-42.77862595419848,3.5267175572519083,8.982196934956866
10959,172,-8.517372406005858,-0.9923965881347656,-0.3148375183105468,-42.90076335877863,-36.27480916030535,3.267175572519084,8.580769566517183
10960,172,-8.263587030029296,-1.3299790222167969,0.1077390747070312,-35.37404580152672,-29.32824427480916,2.8244274809160306,8.370622587993314
10961,172,-8.16542476196289,-1.43652099609375,0.2681505859374999,-30.70229007633588,-25.053435114503817,2.564885496183206,8.295158759917351
10962,172,-8.092401611328125,-1.5035586425781249,0.3818751647949218,-25.603053435114504,-20.3206106870229,2.366412213740458,8.239750061269124
10963,172,-8.066065393066406,-1.8279729675292968,0.5111620544433594,-20.229007633587788,-15.251908396946565,2.137404580152672,8.28638538454157
10964,172,-8.135497241210937,-1.4616601135253906,0.488417138671875,-9.114503816793894,-4.687022900763359,1.801526717557252,8.280176142484546
10965,172,-8.208520391845703,-1.380257257080078,0.4333505004882812,-3.66412213740458,0.5038167938931297,1.633587786259542,8.335029080653673
10966,172,-8.312668164062499,-1.2773065856933592,0.3495534423828125,1.4809160305343512,5.511450381679389,1.4045801526717556,8.417490821423893
10967,172,-8.546102825927735,-1.052251629638672,0.1244984863281249,6.320610687022901,10.244274809160306,1.1603053435114503,8.611539170003539
10968,172,-8.667010009765624,-0.9624690673828123,0.0035913024902343,14.732824427480915,18.6412213740458,0.6259541984732825,8.720287960411618
10969,172,-8.772354882812499,-0.8942343200683593,-0.1185129821777343,18.396946564885496,22.244274809160306,0.3511450381679389,8.818611599120185
10970,172,-8.84777223510742,-0.8307879760742187,-0.2501940734863281,21.81679389312977,25.46564885496183,0.1526717557251908,8.89021255426072
10971,172,-8.954314208984375,-0.729034405517578,-0.5315127685546874,24.99236641221374,28.366412213740457,-0.2442748091603053,8.999652212212677
10972,172,-8.997409838867187,-0.6643909606933593,-0.6871358764648438,30.68702290076336,33.34351145038168,-0.4580152671755725,9.048035967541256
10973,172,-9.04649097290039,-0.5805939025878906,-0.8559270935058593,33.19083969465649,35.51145038167939,-0.6870229007633588,9.105421428571434
10974,172,-9.107543115234376,-0.4872200378417968,-1.22583125,35.41984732824427,37.41984732824427,-0.900763358778626,9.202575031729118
10975,172,-9.223661895751952,-0.2992752075195312,-1.4041992736816404,38.87022900763359,40.458015267175576,-1.099236641221374,9.334735133745918
